number,regular_holiday,address,public_link,img_url,user_id,weekday_open_time,weekday_close_time,weekend_open_time,weekend_close_time,fee
1,なし,〒170-8630 東京都豊島区東池袋3-1 サンシャインシティ ワールドインポートマートビル 屋上,https://sunshinecity.jp/aquarium/,,,10:00,18:00,10:00,18:00,3300
2,水曜日,〒296-0041 千葉県鴨川市東町 1464-18,https://www.kamogawa-seaworld.jp/,,,9:00,16:00,9:00,17:00,3300
3,不定期,〒236-0006 横浜市金沢区八景島　横浜・八景島シーパラダイス,http://www.seaparadise.co.jp/,,,10:00,17:00,10:00,18:00,3300
4,原則水曜日,江戸川区臨海町六丁目,https://www.tokyo-zoo.net/zoo/kasai/,,,9:30,17:00,9:30,17:00,700
5,なし,〒311-1301　茨城県東茨城郡大洗町磯浜町8252-3,https://www.aquaworld-oarai.com/,,,9:00,17:00,9:00,17:00,2000
6,火曜日,〒181-0013 東京都三鷹市下連雀1丁目1-83,https://www.ghibli-museum.jp/,,,10:00,17:00,10:00,19:00,1000
7,なし,〒250-0493　神奈川県足柄下郡箱根町ニノ平1121,https://www.hakone-oam.or.jp/,,,9:00,17:00,9:00,17:00,1600
8,第二、四火曜日,東京都江東区豊洲6-1-16 teamLab Planets TOKYO,https://planets.teamlab.art/tokyo/jp/,,,10:00,20:00,9:00,21:00,3200
9,火曜日,〒107-0062 東京都港区南青山6-5-1,https://www.nezu-muse.or.jp/,,,10:00,17:00,10:00,17:00,1600
10,月曜日,〒108-0071 東京都港区白金台5-21-9,https://www.teien-art-museum.ne.jp/,,,10:00,18:00,10:00,18:00,1400
11,火曜日,〒231-0001 神奈川県横浜市中区新港2-3-4,https://www.cupnoodles-museum.jp/ja/yokohama/,,,10:00,18:00,10:00,18:00,500
12,不定期,横浜市西区みなとみらい2-2-1,https://www.yokohama-landmark.jp/access/,,,11:00,20:00,11:00,20:00,0
13,不定期,千葉県木更津市金田東3-1-1,https://mitsui-shopping-park.com/mop/kisarazu/,,,10:00,20:00,10:00,20:00,0
14,,千葉県市川市大町358番地,http://www.daikeien.jp/,,,13:00,0:00,10:00,0:00,500
15,不定期,〒413-0232　静岡県伊東市八幡野1064-2,https://www.teddynet.co.jp/index.html,,,9:30,17:00,9:30,17:00,1500
16,なし,東京都練馬区向山3-25-1,https://www.seibu-leisure.co.jp/niwanoyu/index.html,,,10:00,23:00,10:00,23:00,2370
17,なし,東京都板橋区前野町3-41-1,https://www.sayanoyudokoro.co.jp/,,,9:00,24:00,9:00,24:00,1120
18,不定期,〒112-0003 東京都文京区春日1丁目1-1,https://www.laqua.jp/spa/,,,10:00,24:00,10:00,24:00,2900
19,なし,〒230-0004 神奈川県横浜市鶴見区元宮2-1-39,https://rakuspa.com/tsurumi/,,,10:00,24:00,10:00,24:00,2080
20,なし,東京都東久留米市上の原2-7-7 ,https://www.spajapo.com/,,,8:00,24:00,8:00,24:00,950
21,なし,〒325-0302 栃木県那須郡那須町高久丙1790,https://sgm-nasu.com/,,,9:30,16:30,9:30,16:30,1300
22,シーズン,〒197-0832 東京都あきる野市上代継 600,https://www.summerland.co.jp/,,,9:00,17:00,9:00,18:00,4200
23,月曜日,〒150-0031 東京都渋谷区桜丘町23-21,https://shibu-cul.jp/planetarium,,,10:00,20:00,10:00,20:00,600
