id,name,spot_category_id,info,access,regular_holiday,address,public_link,img_url,user_id,weekday_open_time,weekday_close_time,weekend_open_time,weekend_close_time,fee
1,サンシャイン水族館(東京都),4,目玉の「天空のペンギン」には何度行っても癒されることでしょう。泳いでいるペンギンを見たい！と思ったあなたは是非、訪れるべきです。イルカショーはないものの、綺麗な展示やエサやりなどのプログラムもあります。また館内のカフェでは、ペンギンやカワウソをモチーフにした軽食をいただくことができます。,池袋駅徒歩3分、,なし,〒170-8630 東京都豊島区東池袋3-1 サンシャインシティ ワールドインポートマートビル 屋上,https://sunshinecity.jp/aquarium/,,,10:00,18:00,10:00,18:00,3300
2,鴨川シーワールド(千葉),4,鴨シーならではの、「シャチショー」は見応えがあります。生の迫力は、画面上のそれとは比較になりません。シャチが水をかけてくるため、濡れてもいい格好で行くことをお勧めします。閉館時間が早いので、お気をつけください。また館内のレストランでは、泳ぐシャチを見ながら食事を楽しむことができます。,海ほたるPAより1時間10分,水曜日,〒296-0041 千葉県鴨川市東町 1464-18,https://www.kamogawa-seaworld.jp/,,,9:00,16:00,9:00,17:00,3300
3,八景島シーパラダイス（神奈川）,4,遊園地エリアも併設された一日中楽しむことができるテーマパークです。チケットは遊園地付きでも、水族館のみでも購入できます。また、水族館では珍しい「ホッキョクグマ」や「レッサーパンダ」を見ることができます。レストランは和食から洋食まで幅広くお店があり、きっと食べたいものが見つかるでしょう。,八景島駅徒歩すぐ,不定期,〒236-0006 横浜市金沢区八景島　横浜・八景島シーパラダイス,http://www.seaparadise.co.jp/,,,10:00,17:00,10:00,18:00,3300
4,葛西臨海水族園（東京）,4,浦安近くの、ガラス張りの丸いドームが目印の水族館です。入館料もお手頃で、学生のデートスポットにも最適です。イルカやアシカがいないものの、ドーナツ型大水槽で群泳する「クロマグロ」は是非とも間近で楽しみたいものです。また、館内のレストランでは、マグロを堪能できる食事メニューが豊富です。,,原則水曜日,江戸川区臨海町六丁目,https://www.tokyo-zoo.net/zoo/kasai/,,,9:30,17:00,9:30,17:00,700
5,アクアワールド・大洗（茨城）,4,50種を越える「サメ」の数や「マンボウ」の水槽の大きさは日本一！さらに大水槽では迫力のある1.5万匹のイワシの大群をご覧いただけます。また、館内のフードコートでは地元の食材を活かしたメニューが揃い、魚介好きにはぴったりです。茨城県に観光の際は、是非立ち寄ってみてはいかがでしょうか。,大洗駅よりバス15分,なし,〒311-1301　茨城県東茨城郡大洗町磯浜町8252-3,https://www.aquaworld-oarai.com/,,,9:00,17:00,9:00,17:00,2000
6,三鷹の森ジブリ美術館(東京),1,ジブリの映画を直近で体験できる美術館です。ジブリ映画の制作方法や、当時の映画のコマの書き方、書斎などが展示されています。また、ジブリの世界を同時に味わえる空間となっており、屋上には巨大なラピュタのロボット兵が展示されています。映画好きの方にも、ジブリ好きの方にもぴったりなスポットになっています。,,火曜日,〒181-0013 東京都三鷹市下連雀1丁目1-83,https://www.ghibli-museum.jp/,,,10:00,17:00,10:00,19:00,1000
7,彫刻の森美術館(神奈川),1,様々な芸術作品が屋外展示された美術館です。敷地面積は7万平方メートルと広く、ゆっくり回ると半日近くかかります。天気の良い日の方が濡れることなく見学できますが、美術館のある箱根付近は天気が崩れやすく、雨もよく降ります。多少の雨であれば、足を伸ばしてみるのも良いのではないでしょうか。,彫刻の森駅徒歩2分,なし,〒250-0493　神奈川県足柄下郡箱根町ニノ平1121,https://www.hakone-oam.or.jp/,,,9:00,17:00,9:00,17:00,1600
8,チームラボプラネッツ(東京),1,現実を忘れさせてくれる、幻想的な空間です。真っ暗な中で音と光のアートを同時に楽しむことができます。テーマに分けられた空間がいくつかあり、それぞれ演出の違いから、すぐに飽きることはないでしょう。この施設は、膝下まで水に浸かる演出もあるため、捲りやすいボトムスで行くことをおすすめします。,新豊洲駅,第二、四火曜日,東京都江東区豊洲6-1-16 teamLab Planets TOKYO,https://planets.teamlab.art/tokyo/jp/,,,10:00,20:00,9:00,21:00,3200
9,根津美術館(東京),1,本格的な日本庭園を中心に見どころが満載です。 この美術館は現代日本建築の傑作で、大都会で自然を肌で、目で感じることができます。屋内展示は期間ごとに展示内容が変わり、何度行っても新しい発見があるでしょう。また、カフェも併設されており、庭園を見ながら、のんびり休憩できます。,表参道駅徒歩10分,火曜日,〒107-0062 東京都港区南青山6-5-1,https://www.nezu-muse.or.jp/,,,10:00,17:00,10:00,17:00,1600
10,東京都庭園美術館 (東京),1,美術館の建物は、ヨーロッパを感じさせるものになっており、西洋にタイムスリップしたような感覚になります。屋内展示は期間限定で入れ替わっているため、公式HPで確認してから行くのが良いです。さらに、併設された広い庭園は、春には桜、秋には紅葉など四季を楽しめ、カフェでは庭園を見ながら、休むことができます。,目黒駅徒歩7分,月曜日,〒108-0071 東京都港区白金台5-21-9,https://www.teien-art-museum.ne.jp/,,,10:00,18:00,10:00,18:00,1400
